,s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,notes,pl,si,va,te,co,or,sh,po,li,ar,re,sp,ma,ki,rf,tx
393,395,Fernanda Gomes ,Untitled,,Galerie Emmanuel Hervé,Brazil,False,installation,"installation, wood & painting",30 x 30 x 5 cm,2009,"reads as incomplete square, white on white wall, miminal work but materially basic & searching, textural, lines are basic wood not quite forming a right angle, what is this",3,1,3,3,0,3,5,0,5,0,0,5,False,False,False,False
394,396,Oskar Fischinger,An Optical Poem,,YouTube ,Germany,False,video_film,"film,",7 mins,1938,"animation to music, moving abstract circles & lines receeding into space, moving across the screen, coming towards the viewer, not fixed, moving in groups, patterns, getting larger / smaller, abstract musical animation, very open, always changing, luminous colors, dance of shapes resembles a voyage through an imaginery outer space",4,4,4,0,1,0,3,5,5,5,0,3,False,True,False,False
395,397,Amir Mousavi,,,Aaran Gallery also LACMA,Iran,False,photography,"photo,",,2009,"combining photo & painting, blurred cars, sharp image of tree branch, strange shapes above branches, juxtapositions: paint on photo printed on canvas, real/ unreal",4,0,0,3,1,0,2,0,3,5,5,0,False,False,False,False
396,398,Dariush Nehdaran,Untitled,,LACMA,Iran,False,photography,"photo, gelatin silver print",71 x 107 cm,2011,"photo placed on its side, strong elongated shadows of figures, weird sense of orientation",2,0,2,0,0,4,3,3,3,5,5,0,False,False,False,False
397,399,Dadbeh Bassir,Untitled,,LACMA,Iran,False,photography,"photo, chromogenic print",53 x 79 cm,2014,"surrealist notion of putting things in the wrong place, clouds & sky in foreground, curved wobbling look of building above",5,0,1,1,0,0,4,0,3,5,5,0,False,False,False,False
398,400,Wafaa Bilal,Market,,LACMA,Iraq,False,photography,"photo, archival inkjet print",104 x 127 cm,2013,"b&w photograph of a stage set, builds small set & photos, images taken here from American invasion of Iraq, sense of staging, eerie sense from image, uneasyness whether this is real or a tiny set",0,4,4,4,0,0,0,0,3,5,5,3,False,False,False,False
399,401,Mohammad Ali Talpur,Bird Flight,,Vasl Artists' Collective,Pakistan,False,drawing,"drawing,",,2005,"singularity of line, placement, sense of handdrawn line, acute awaremess of placing of one line, uneven curve to the line varies in its mark, can 'see' the handdrawn nature of the line",2,0,3,3,0,1,4,0,5,0,0,0,False,False,False,False
400,402,Mohammad Ali Talpur,Machine Drawing,,Vasl Artists' Collective,Pakistan,False,drawing,"drawing, water based ink on paper",,2010,"parallel lines, partial, lightness of touch, drawn only on part of paper, light, short lines in some places, so uncertainty not so much the shape of the lines as the quality of the lines",2,0,4,4,0,0,0,0,5,0,0,0,False,False,False,False
401,403,Peter Fischli David Weiss ,ZEIT DIE ZUR VERFÜGUNG STEHT,,Sprueth Magers,America,False,photography,"photo, color photograph",40 x 30 cm,1986,"balance, collage of objects, precarious, sense that plastic bottle will scrunch up, tape will roll down",4,0,0,0,0,4,1,0,3,5,5,0,False,False,False,False
402,404,Jitish Kallat,Wind Study,,artradarjournal.com,India,True,drawing,"drawing, burnt adhesive & graphite on Indian handmade paper",170 x 114 cm,2016,"burnt adhesive & graphite on handmade paper, texture & tones of burnt lines, space created by angle of those lines joined to points which almost form architecture w/in which parts of unknown layers burnt, burning is partly out of his control, ",1,0,2,4,0,1,1,3,5,5,0,0,False,False,False,True
403,405,Gillian Avery,Break-off ,abstraction,Tate,UK,False,painting,"painting, oil on canvas",152 x 305 cm,1961,"shapes placed separately on ground, vary in size, sense of liquid paint, shapes & lines bleed / merge, ambiguity through abstraction, shapes are somewhat moorless & float in relation to each other, what is the space, but less about uncertainty",2,1,1,4,1,0,2,3,5,5,0,0,False,False,False,False
